ProductId,UserId,Score
678f7832fb533fe0d801153f,A1FJEIB7HQ22ME,5
678f7ef2fb533fe0d80115f3,A1P59RM84ZIA0C,5
678f8010fb533fe0d801164a,ASPAJS6WD8CWY,5
678f8062fb533fe0d801166d,A2020KL55SYZ4U,1
678f811efb533fe0d80116b7,A22BGI38W7Q9X9,2
678f820dfb533fe0d80116da,AAE9DFXQCMR6R,5
678f831cfb533fe0d8011708,A3VEIK0I3ZPBS3,4
678f8372fb533fe0d8011743,A314EQ2EOJ71ZV,1
678f83e5fb533fe0d8011762,AN47NZBIFKJM3,5
678f8468fb533fe0d80117c3,A3JS4HZHL8SXNZ,3
678f84bafb533fe0d80117e1,A20KY64YA7FWTW,5
678f8502fb533fe0d801181a,A2FNVNTWWQNDXO,2
678f8761fb533fe0d80118cf,A15MYYRI3SIBPO,5
678f881efb533fe0d8011910,AJCK6OKNWGIYG,5
678f88b3fb533fe0d801193d,A1TEFN18LEQ6R4,5
678f895ffb533fe0d8011993,A1BS9MVSS4KFFP,1
678f8abcfb533fe0d80119c3,A1ZWK9CSWI8GFJ,5
678f8bdefb533fe0d80119da,A2BZAW8N35KZMQ,5
678f927afb533fe0d8011b44,A3BMKNZ951C4WS,5
678f92fefb533fe0d8011b72,A1KWJS21XOL3EE,5
678f9350fb533fe0d8011b95,A26V9ZFJGC526L,5
678f93b1fb533fe0d8011bc5,A36RAQMRYAU3TV,2
678f93fefb533fe0d8011be3,A189AMOOTMY9G1,5
678f9457fb533fe0d8011c1b,A4SOTMZRRFHKO,5
678f94e6fb533fe0d8011c3e,A3SU48A49T9TKR,1
678f95b6fb533fe0d8011c8e,A1JM0IBV4MQD9Q,4
678f9602fb533fe0d8011cc0,A10GJPA4GESCE,5
678f97fffb533fe0d8011d40,A35W3JQYP0M655,5
678f989efb533fe0d8011d85,A379XY4QTK9Y10,1
678f997dfb533fe0d8011dff,A2S1SEMBU2ZVH0,1
678f9a04fb533fe0d8011e41,A2ODFRCKE1WRSX,5
678f9a4bfb533fe0d8011e5d,A1J703O1VVLZE3,5
678f9cd7fb533fe0d8011f82,A12F2Y4MOWB2SF,5
678f9d10fb533fe0d8011f9d,A2Z8NXQT8OYD9Z,5
678f9d51fb533fe0d8011faa,AWET7LCQ2JJUD,5
678f7832fb533fe0d801153f,A1NVS7Z1PAJD2T,2
678f7ef2fb533fe0d80115f3,A3AKE993HP8FLA,2
678f8010fb533fe0d801164a,AGKR2TF00A5OD,4
678f8062fb533fe0d801166d,ADN8WE0L12Z72,1
678f811efb533fe0d80116b7,A3VRFPLQC1KDRZ,3
678f820dfb533fe0d80116da,A3151L6JIDTWRI,5
678f831cfb533fe0d8011708,ATB54G86ZPPY2,5
678f8372fb533fe0d8011743,A2077JVM6YJOGP,5
678f83e5fb533fe0d8011762,A18OUQEK7IZ2F2,5
678f8468fb533fe0d80117c3,A33G20XCP33PZ1,1
678f84bafb533fe0d80117e1,A2E1VCI6QCP8WL,5
678f8502fb533fe0d801181a,A2MUGFV2TDQ47K,3
678f8761fb533fe0d80118cf,ABQEDHBG91BBR,1
678f881efb533fe0d8011910,AD85M8MCAFJKY,4
678f88b3fb533fe0d801193d,A2JM4TKX99S313,5
678f895ffb533fe0d8011993,A1SGX5VMNU516T,5
678f8abcfb533fe0d80119c3,A28V2JYBYLDUV5,3
678f8bdefb533fe0d80119da,A3987L8YGSSCQM,5
678f927afb533fe0d8011b44,A3O55Z1BW1W71O,5
678f92fefb533fe0d8011b72,A10AQE6KH84EH0,4
678f9350fb533fe0d8011b95,A2DGE6BY0TB54C,5
678f93b1fb533fe0d8011bc5,A35QNRFYZYDGBI,5
678f93fefb533fe0d8011be3,A2F2LMBNMIH4OR,5
678f9457fb533fe0d8011c1b,AWDHMRYL3BY8X,5
678f94e6fb533fe0d8011c3e,A1DGZFPGU5HVIF,5
678f95b6fb533fe0d8011c8e,ALX2OS5SE4278,5
678f9602fb533fe0d8011cc0,A2S7YOXOEW8VDU,5
678f97fffb533fe0d8011d40,A2ILJ3DQTPK256,1
678f989efb533fe0d8011d85,A2SY4Z9HTH3DRV,5
678f997dfb533fe0d8011dff,AKZKG2Z7CNV27,2
678f9a04fb533fe0d8011e41,A32GCOTGFJ9XC3,4
678f97fffb533fe0d8011d40,A2IMLOJ2Z2QEU2,4
678f9a4bfb533fe0d8011e5d,AAUICTIUBVU7R,5
678f9cd7fb533fe0d8011f82,A1KRBNK3N1SBEP,5
678f9d10fb533fe0d8011f9d,A1ONUF6LB72IYE,4
678f9d51fb533fe0d8011faa,A21CEM7VBB2LKL,5
678f7832fb533fe0d801153f,A3T3S48UAVTUE9,1
678f7ef2fb533fe0d80115f3,AOSPFKX2TSB9S,2
678f8010fb533fe0d801164a,A37X075WQL1YDF,5
678f8062fb533fe0d801166d,A204G7E13UW2B0,1
678f811efb533fe0d80116b7,AJ2FDNZ3COBFN,2
678f820dfb533fe0d80116da,A3K9EYDVOS8D9Q,5
678f831cfb533fe0d8011708,A26KTKFRZMWFYU,1
678f8372fb533fe0d8011743,A2VF3XTT7245RE,5
678f811efb533fe0d80116b7,A2JFRJPWWPFYE3,4
678f83e5fb533fe0d8011762,A1KMI5SKEU5CBV,5
678f8468fb533fe0d80117c3,A118AULZTIXJXL,5
678f84bafb533fe0d80117e1,A2SG9OZ075RYWX,5
678f8502fb533fe0d801181a,A3OBP99ZV5TG6C,5
678f8761fb533fe0d80118cf,A359BGGHBEM4HA,5
678f881efb533fe0d8011910,AXO42F5Z51IWR,5
678f88b3fb533fe0d801193d,ACYR6O588USK,3
678f895ffb533fe0d8011993,A1VM0SD25DAFGH,5
678f8abcfb533fe0d80119c3,A6VOQ7HCFLPGP,5
678f8bdefb533fe0d80119da,A2L13D1K3PF717,4
678f927afb533fe0d8011b44,A1M5VXVTC42MCR,5
678f92fefb533fe0d8011b72,ATUZTOC7E46QH,5
678f9350fb533fe0d8011b95,A3TCLO1OVM8KGI,5
678f93b1fb533fe0d8011bc5,A1GD2URTB9KU4X,5
678f93fefb533fe0d8011be3,A3WH0FZKD9K94,5
